platform,title,offer,coupon_code,bank,payment_mode,url,expiry_date,terms_and_conditions,flight_type
cleartrip,Special Offers for Army Personnel’s Senior Citizens & Students!,Special Offers,CTDEFENCE | CTSENIOR | CTSTUDENT,,,https://www.cleartrip.com/all-offers/ptc-flights-offer/,,Terms and conditions not explicitly stated on page,domestic
cleartrip,"Get up to ₹5,000 off  on Flight Bookings!","Get up to ₹5,000 off",CTFLY,HDFC,credit card,https://www.cleartrip.com/all-offers/international-flights-intfly-offer/,,Terms and conditions not explicitly stated on page,domestic
cleartrip,"Flights starting From @ ₹ 5,999","Flights starting From @ ₹ 5,999",INTFLASH,HDFC,credit card,https://www.cleartrip.com/all-offers/tatkaal-sale/,,Terms and conditions not explicitly stated on page,international
cleartrip,"Get up to Rs. 25,000 off  on Flight Bookings!","Get up to Rs. 25,000 off",INTFLY,HDFC,debit card,https://www.cleartrip.com/all-offers/international-flights-intfly-offer/,,Terms and conditions not explicitly stated on page,international
cleartrip,"Get up to Rs. 10,000 off  on Flight Bookings!","Get up to Rs. 10,000 off",CTINT,HDFC,debit card,https://www.cleartrip.com/all-offers/international-flights-offer/,,Terms and conditions not explicitly stated on page,international
cleartrip,Flat 10% off + 5% cashback,Flat 10% off + 5% cashback with Flipkart SBI Credit Cards,CTFKSBIC,SBI,credit card,https://www.cleartrip.com/all-offers/sbicbc-ct-special-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,"Get up to Rs. 5,000 off + on Flights booking","Get up to Rs. 5,000 off + on Flights booking with HDFC Bank Credit Card EMI",CTHDFCEMI,HDFC,credit card,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Up to 12% off,Up to 12% off with AU Credit Cards,AUFEST,AU,credit card,https://www.cleartrip.com/all-offers/au-bank-cards-offer-ct/,10-05-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off on Domestic & International Flights,Get up to 12% off on Domestic & International Flights Applicable only on Flipkart Axis Credit Cards,NOVFKAXIS,Axis,credit card,https://www.cleartrip.com/all-offers/nov-upi-flights-offer/,,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off on Flights booking,Get up to 12% off on Flights booking with ICICI Bank Credit Cards!,ICICICC,ICICI,credit card,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 15% off on Flights Booking!,Get up to 15% off on Flights Booking! with Axis Bank RuPay Credit Cards,AXISRUPAYCC,Axis,credit card,https://www.cleartrip.com/all-offers/axis-rupay-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% offon Flights Booking!,Get up to 12% offon Flights Booking! with PNB Credit Cards,PNBCC,PNB,credit card,https://www.cleartrip.com/all-offers/pnb-credit-cards-flights-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,"Get up to ₹ 7,750 off on Flights Booking","Get up to ₹ 7,750 off on Flights Booking HDFC Bank Pixel Credit Card EMI Transactions!",HDFCPIXELEMI,HDFC,credit card,https://www.cleartrip.com/all-offers/hdfc-pixel-cc-flights-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Flat 10% offon Flights Booking!,Flat 10% offon Flights Booking! with SBI Credit Cards,SBICC,SBI,credit card,https://www.cleartrip.com/all-offers/sbi-credit-cards-emi-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off +additional savings on EMI,Get up to 12% off +additional savings on EMI with Axis Bank Card EMI,AXISEMI,Axis,credit card,https://www.cleartrip.com/all-offers/axis-ncemi-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off + on Flights Booking,Get up to 12% off + on Flights Booking HDFC Bank Credit Card EMI Transactions!,HDFCCC,HDFC,credit card,https://www.cleartrip.com/all-offers/ct-hdfc-special-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% offon Flights Booking,Get up to 12% offon Flights Booking with HDFC Bank Credit Cards,HDFCCC,HDFC,credit card,https://www.cleartrip.com/all-offers/ct-hdfc-special-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off on Flights booking,Get up to 12% off on Flights booking with Yes Bank Credit Card,YESCC,Yes Bank,credit card,https://www.cleartrip.com/all-offers/yes-creditcards-flights-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Flat 15% off on Signature & Infinite Credit Cards,Flat 15% off on Signature & Infinite Credit Cards with Kotak Credit Cards,KOTAKCC,Kotak,credit card,https://www.cleartrip.com/all-offers/kotak-credit-cards-campaign-on-flights/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% offon Flight Bookings!,Get up to 12% offon Flight Bookings! with AU Credit Cards,AUCC,AU,credit card,https://www.cleartrip.com/all-offers/au-bank-cards-offer-ct/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 15% offNo Cost EMI,Get up to 15% offNo Cost EMI with BOBCARD EMI Transactions!,BOBEMI,Bank of Baroda,credit card,https://www.cleartrip.com/all-offers/bob-cc-emi-flights-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off + on Flights Booking!,Get up to 12% off + on Flights Booking! with RBL Bank Credit Card EMI,RBLEMI,RBL,credit card,https://www.cleartrip.com/all-offers/rbl-credit-cards-ncemi-campaign/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Flat 10% off + 3 & 6 months No Cost EMI,Flat 10% off + 3 & 6 months No Cost EMI with Bajaj Finserv Cards!,CTBFL,Bajaj Finserv,credit card,https://www.cleartrip.com/all-offers/bajaj-finserv-cards-campaign/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Flat 10% off + 5% cashback,Flat 10% off + 5% cashback with Flipkart Axis Credit Cards,CTFKAXIS,Axis,credit card,https://www.cleartrip.com/all-offers/flipkart-axis-cc-ct-special-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Flat 10% off + 5% cashback,Flat 10% off + 5% cashback with Flipkart SBI Credit card,CTFKSBIC,SBI,credit card,https://www.cleartrip.com/all-offers/sbicbc-ct-special-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off on Flights Booking!,Get up to 12% off on Flights Booking! with OneCard Credit Card EMI,ONECARDEMI,OneCard,credit card,https://www.cleartrip.com/all-offers/onecard-emi-offer/,31-07-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Up to 15% off on Flights Booking!,Up to 15% off on Flights Booking! with Canara Bank Credit Cards,CANARACC,Canara Bank,credit card,https://www.cleartrip.com/all-offers/canara-bank-credit-cards-flights-offer/,17-10-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Up to 12% off + 3 month No Cost EM,Up to 12% off + 3 month No Cost EM with ICICI Bank Credit Card EMI,ICICIEMI,ICICI,credit card,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,16-10-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off + additional savings on EMI,Get up to 12% off + additional savings on EMI with Axis Bank Credit Card EMI,AXISEMI,Axis,credit card,https://www.cleartrip.com/all-offers/axis-ncemi-offer/,31-07-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off,Get up to 12% off with Federal Bank Credit & Debit Cards,FEDCC | FEDDC,Federal Bank,"credit card, debit card",https://offers.cleartrip.com/federal-bank-credit-debit-cards-flights-offer/,25-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off,"Get up to 12% off Fly smarter, save bigger with SBI Credit Cards.",SBICC | SBIEMI,SBI,credit card,https://offers.cleartrip.com/sbi-credit-cards-weekly-campaign/,,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 10% off + 3 month No Cost EMI,Get up to 10% off + 3 month No Cost EMI with IDFC FIRST Bank Credit Card EMI,IDFCEMI,IDFC,credit card,https://www.cleartrip.com/all-offers/idfc-credit-cards-campaign/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Flat 10% off,Flat 10% off Maximize flight savings with ICICI Bank Net Banking.,ICICINB,ICICI,net banking,https://offers.cleartrip.com/icici-bank-net-banking-offer/,26-06-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Up to 15% off + No Cost EMI,Up to 15% off + No Cost EMI with American Express Credit Card EMI transactions,AMEXEMI,American Express,credit card,https://offers.cleartrip.com/amex-cc-emi-flights-offer/,27-05-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 15% off,Get up to 15% off Flights with Punjab National Bank Credit Cards.,PNBCC,PNB,credit card,https://offers.cleartrip.com/pnb-credit-cards-flights-offer/,31-12-2023,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Flat 25% off on Flights,Flat 25% off on Flights Applicable on Axis & Kotak Bank Credit Cards,BBDCC,"Axis, Kotak",credit card,https://www.cleartrip.com/all-offers/air-india-bbd-ct-special-offer/,31-08-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 15% off,Get up to 15% off on all Flights bookings with Bank of Baroda,BOBFEST,Bank of Baroda,credit card,https://offers.cleartrip.com/consortium-campaign-bank-of-baroda-credit-cards/,27-05-2023,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Flat 8% off on Flights,Flat 8% off on Flights with IDFC First Bank Credit Card EMI!,IDFCEMI,IDFC,credit card,https://offers.cleartrip.com/idfc-first-bank-credit-cards-campaign/,31-08-2024,Terms and conditions not explicitly stated on page,domestic/international
easemytrip,Enjoy Instant Discount of Rs. 500 on Minimum Transaction of Rs. 5000,Instant Discount of Rs. 500,EASE5000,HDFC,debit card,https://www.easemytrip.com/offers.html,31-08-2027,"This offer is applicable for booking air tickets at www.EaseMyTrip.com.
The customer must use Promo Code EASE5000 while booking to avail this offer.
The offer can't be combined with any other discounts/offers/deals.
This offer is valid on minimum transaction of Rs.5000
In case of misuse and exploitation of this offer by the customers, EaseMyTrip can cancel the booking or deny the offer.
The offer is only restricted for the general customers of EaseMyTrip, travel professionals/agents can't avail this offer.
EaseMyTrip reserves the right to amend/modify/withdraw the offer any time without any prior notice.
In addition, terms & condition of www.EaseMyTrip.com also apply.
If case of any dispute, it will be subject to the jurisdiction of the courts in New Delhi.
Offer Validity Till 31stAugust 2017",domestic/international
yatra,Flat Rs. 600 OFF*,Flat Rs. 600 OFF*,MBKUPI,HDFC,credit card,https://www.yatra.com/offer/details/mobikwik-upi-offer,31-12-2025,Terms and conditions not explicitly stated on page,domestic/international
goibibo,Bookings open for direct flights from Hyderabad-Amsterdam!,Bookings open for direct flights from Hyderabad-Amsterdam!,,,,https://www.goibibo.com/offers/klm-airline-route/,,Terms and conditions not explicitly stated on page,international
goibibo,Now enjoy FULL REFUND on cancelling your flight! #TakeItLite,Now enjoy FULL REFUND on cancelling your flight!,GOINTH,,,https://www.goibibo.com/offers/no-nonsense-refund/,,Terms and conditions not explicitly stated on page,domestic/international
